YEAR,SPECIES,QUALITY_CLASS,MATURITY_AGE
2018,pine,5,120
2018,pine,5A,120
2018,spruce,1A,60
2018,spruce,1,70
2018,spruce,2,80
2018,spruce,3,90
2018,spruce,4,90
2018,spruce,5,90
2018,spruce,5A,90
2018,birch,1A,60
2018,birch,1,60
2018,birch,2,70
2018,birch,3,70
2018,birch,4,70
2018,birch,5,70
2018,birch,5A,70
2018,aspen,1A,30
2018,aspen,1,40
2018,aspen,2,40
2018,aspen,3,50
2018,aspen,4,50
2018,black_alder,1A,60
2018,black_alder,1,60
2018,black_alder,2,60
2018,black_alder,3,60
2018,black_alder,4,60
2018,black_alder,5,60
2018,black_alder,5A,60
2018,hardwood,1A,90
2018,hardwood,1,90
2018,hardwood,2,100
2018,hardwood,3,110
2018,hardwood,4,120
2018,hardwood,5,130
2018,hardwood,5A,130
2019,pine,1A,90
2019,pine,1,90
2019,pine,2,90
2019,pine,3,100
2019,pine,4,110
2019,pine,5,120
2019,pine,5A,120
2019,spruce,1A,60
2019,spruce,1,70
2019,spruce,2,80
2019,spruce,3,90
2019,spruce,4,90
2019,spruce,5,90
2019,spruce,5A,90
2019,birch,1A,60
2019,birch,1,60
2019,birch,2,70
2019,birch,3,70
2019,birch,4,70
2019,birch,5,70
2019,birch,5A,70
2019,aspen,1A,30
2019,aspen,1,40
2019,aspen,2,40
2019,aspen,3,50
2019,aspen,4,50
2019,black_alder,1A,60
2019,black_alder,1,60
2019,black_alder,2,60
2019,black_alder,3,60
2019,black_alder,4,60
2019,black_alder,5,60
2019,black_alder,5A,60
2019,hardwood,1A,90
2019,hardwood,1,90
2019,hardwood,2,100
2019,hardwood,3,110
2019,hardwood,4,120
2019,hardwood,5,130
2019,hardwood,5A,130
2020,pine,1A,90
2020,pine,1,90
2020,pine,2,90
2020,pine,3,100
2020,pine,4,110
2020,pine,5,120
2020,pine,5A,120
2020,spruce,1A,60
2020,spruce,1,70
2020,spruce,2,80
2020,spruce,3,90
2020,spruce,4,90
2020,spruce,5,90
2020,spruce,5A,90
2020,birch,1A,60
2020,birch,1,60
2020,birch,2,70
2020,birch,3,70
2020,birch,4,70
2020,birch,5,70
2020,birch,5A,70
2020,aspen,1A,30
2020,aspen,1,40
2020,aspen,2,40
2020,aspen,3,50
2020,aspen,4,50
2020,black_alder,1A,60
2020,black_alder,1,60
2020,black_alder,2,60
2020,black_alder,3,60
2020,black_alder,4,60
2020,black_alder,5,60
2020,black_alder,5A,60
2020,hardwood,1A,90
2020,hardwood,1,90
2020,hardwood,2,100
2020,hardwood,3,110
2020,hardwood,4,120
2020,hardwood,5,130
2020,hardwood,5A,130
2021,pine,1A,90
2021,pine,1,90
2021,pine,2,90
2021,pine,3,100
2021,pine,4,110
2021,pine,5,120
2021,pine,5A,120
2021,spruce,1A,60
2021,spruce,1,70
2021,spruce,2,80
2021,spruce,3,90
2021,spruce,4,90
2021,spruce,5,90
2021,spruce,5A,90
2021,birch,1A,60
2021,birch,1,60
2021,birch,2,70
2021,birch,3,70
2021,birch,4,70
2021,birch,5,70
2021,birch,5A,70
2021,aspen,1A,30
2021,aspen,1,40
2021,aspen,2,40
2021,aspen,3,50
2021,aspen,4,50
2021,black_alder,1A,60
2021,black_alder,1,60
2021,black_alder,2,60
2021,black_alder,3,60
2021,black_alder,4,60
2021,black_alder,5,60
2021,black_alder,5A,60
2021,hardwood,1A,90
2021,hardwood,1,90
2021,hardwood,2,100
2021,hardwood,3,110
2021,hardwood,4,120
2021,hardwood,5,130
2021,hardwood,5A,130
2022,pine,1A,90
2022,pine,1,90
2022,pine,2,90
2022,pine,3,100
2022,pine,4,110
2022,pine,5,120
2022,pine,5A,120
2022,spruce,1A,60
2022,spruce,1,70
2022,spruce,2,80
2022,spruce,3,90
2022,spruce,4,90
2022,spruce,5,90
2022,spruce,5A,90
2022,birch,1A,60
2022,birch,1,60
2022,birch,2,70
2022,birch,3,70
2022,birch,4,70
2022,birch,5,70
2022,birch,5A,70
2022,aspen,1A,30
2022,aspen,1,40
2022,aspen,2,40
2022,aspen,3,50
2022,aspen,4,50
2022,black_alder,1A,60
2022,black_alder,1,60
2022,black_alder,2,60
2022,black_alder,3,60
2022,black_alder,4,60
2022,black_alder,5,60
2022,black_alder,5A,60
2022,hardwood,1A,90
2022,hardwood,1,90
2022,hardwood,2,100
2022,hardwood,3,110
2022,hardwood,4,120
2022,hardwood,5,130
2022,hardwood,5A,130
2023,pine,1A,90
2023,pine,1,90
2023,pine,2,90
2023,pine,3,100
2023,pine,4,110
2023,pine,5,120
2023,pine,5A,120
2023,spruce,1A,60
2023,spruce,1,70
2023,spruce,2,80
2023,spruce,3,90
2023,spruce,4,90
2023,spruce,5,90
2023,spruce,5A,90
2023,birch,1A,60
2023,birch,1,60
2023,birch,2,70
2023,birch,3,70
2023,birch,4,70
2023,birch,5,70
2023,birch,5A,70
2023,aspen,1A,30
2023,aspen,1,40
2023,aspen,2,40
2023,aspen,3,50
2023,aspen,4,50
2023,black_alder,1A,60
2023,black_alder,1,60
2023,black_alder,2,60
2023,black_alder,3,60
2023,black_alder,4,60
2023,black_alder,5,60
2023,black_alder,5A,60
2023,hardwood,1A,90
2023,hardwood,1,90
2023,hardwood,2,100
2023,hardwood,3,110
2023,hardwood,4,120
2023,hardwood,5,130
2023,hardwood,5A,130
2024,pine,1A,90
2024,pine,1,90
2024,pine,2,90
2024,pine,3,100
2024,pine,4,110
2024,pine,5,120
2024,pine,5A,120
2024,spruce,1A,60
2024,spruce,1,70
2024,spruce,2,80
2024,spruce,3,90
2024,spruce,4,90
2024,spruce,5,90
2024,spruce,5A,90
2024,birch,1A,60
2024,birch,1,60
2024,birch,2,70
2024,birch,3,70
2024,birch,4,70
2024,birch,5,70
2024,birch,5A,70
2024,aspen,1A,30
2024,aspen,1,40
2024,aspen,2,40
2024,aspen,3,50
2024,aspen,4,50
2024,black_alder,1A,60
2024,black_alder,1,60
2024,black_alder,2,60
2024,black_alder,3,60
2024,black_alder,4,60
2024,black_alder,5,60
2024,black_alder,5A,60
2024,hardwood,1A,90
2024,hardwood,1,90
2024,hardwood,2,100
2024,hardwood,3,110
2024,hardwood,4,120
2024,hardwood,5,130
2024,hardwood,5A,130
2025,pine,1A,90
2025,pine,1,90
2025,pine,2,90
2025,pine,3,100
2025,pine,4,110
2025,pine,5,120
2025,pine,5A,120
2025,spruce,1A,60
2025,spruce,1,70
2025,spruce,2,80
2025,spruce,3,90
2025,spruce,4,90
2025,spruce,5,90
2025,spruce,5A,90
2025,birch,1A,60
2025,birch,1,60
2025,birch,2,70
2025,birch,3,70
2025,birch,4,70
2025,birch,5,70
2025,birch,5A,70
2025,aspen,1A,30
2025,aspen,1,40
2025,aspen,2,40
2025,aspen,3,50
2025,aspen,4,50
2025,black_alder,1A,60
2025,black_alder,1,60
2025,black_alder,2,60
2025,black_alder,3,60
2025,black_alder,4,60
2025,black_alder,5,60
2025,black_alder,5A,60
2025,hardwood,1A,90
2025,hardwood,1,90
2025,hardwood,2,100
2025,hardwood,3,110
2025,hardwood,4,120
2025,hardwood,5,130
2025,hardwood,5A,130
