YEAR,AGE_GROUP,TYPE,AREA,UNIT
2011,91...100,protected,19.50,kha
2011,81...90,protected,14.90,kha
2011,71...80,protected,29.30,kha
2011,61...70,protected,32.60,kha
2011,51...60,protected,32.50,kha
2011,41...50,protected,27.60,kha
2011,31...40,protected,14.20,kha
2011,21...30,protected,8.80,kha
2011,11...20,protected,6.20,kha
2011,...10,protected,3.20,kha
2011,unknown,protected,2.30,kha
2011,clearcut,protected,1.40,kha
2012,141...,production,7.50,kha
2012,131...140,production,6.40,kha
2012,121...130,production,14.30,kha
2012,111...120,production,15.10,kha
2012,101...110,production,33.60,kha
2012,91...100,production,62.70,kha
2012,81...90,production,100.20,kha
2012,71...80,production,169.60,kha
2012,61...70,production,245.60,kha
2012,51...60,production,249.40,kha
2012,41...50,production,287.00,kha
2012,31...40,production,223.60,kha
2012,21...30,production,156.30,kha
2012,11...20,production,150.10,kha
2012,...10,production,141.30,kha
2012,unknown,production,82.70,kha
2012,clearcut,production,60.80,kha
2012,141...,protected,10.20,kha
2012,131...140,protected,4.70,kha
2012,121...130,protected,6.50,kha
2012,111...120,protected,7.60,kha
2012,101...110,protected,9.10,kha
2012,91...100,protected,18.20,kha
2012,81...90,protected,17.20,kha
2012,71...80,protected,29.80,kha
2012,61...70,protected,37.70,kha
2012,51...60,protected,31.20,kha
2012,41...50,protected,30.20,kha
2012,31...40,protected,17.40,kha
2012,21...30,protected,10.00,kha
2012,11...20,protected,5.90,kha
2012,...10,protected,3.20,kha
2012,unknown,protected,2.40,kha
2012,clearcut,protected,1.80,kha
2013,141...,production,7.80,kha
2013,131...140,production,6.20,kha
2013,121...130,production,12.90,kha
2013,111...120,production,15.80,kha
2013,101...110,production,33.30,kha
2013,91...100,production,63.20,kha
2013,81...90,production,99.10,kha
2013,71...80,production,169.10,kha
2013,61...70,production,247.20,kha
2013,51...60,production,249.80,kha
2013,41...50,production,280.40,kha
2013,31...40,production,221.90,kha
2013,21...30,production,153.50,kha
2013,11...20,production,166.80,kha
2013,...10,production,136.50,kha
2013,unknown,production,84.50,kha
2013,clearcut,production,62.40,kha
