Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;9,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;7,9
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;7,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;8,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;7,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;5,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;6,6
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;61...70;7,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;7,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,1
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;13,0
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;9,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,8
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,7
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;12,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,8
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;11,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;10,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;9,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;8,6
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;51...60;8,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,7
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;14,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;13,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,2
