Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;113,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;113,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;112,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;110,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;103,7
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;101,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;100,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;95,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;95,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;99,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;100,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;97,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;93,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;90,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;84,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;80,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;77,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;77,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;77,5
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;51...60;76,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;133,0
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;124,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;130,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;127,2
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;129,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;128,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;129,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;122,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;119,9
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;115,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;117,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;119,0
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;119,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;114,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;112,7
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;101,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;92,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;86,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;89,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;88,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;84,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;82,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;75,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;67,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;63,6
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;41...50;60,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;31...40;117,7
