Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;10,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;10,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;11,5
