Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;4,4
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;4,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;8,0
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;4,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;4,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;3,2
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;3,1
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;5,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;7,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;8,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;10,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;11,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;11,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;12,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,7
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;15,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;14,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,5
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;30,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;23,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;24,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;22,5
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;25,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;29,1
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;30,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;30,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;29,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;25,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,7
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,6
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;25,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;24,5
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;22,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;21,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;21,5
