Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;206,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;204,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;205,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;208,8
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;230,7
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;256,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;245,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;243,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;241,8
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;243,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;238,0
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;237,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;241,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;244,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;254,1
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;252,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;270,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;283,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;288,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;278,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;278,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;273,7
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;264,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;257,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;256,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;246,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;238,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;234,9
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;232,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;226,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;321,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;318,3
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;314,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;309,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;313,0
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;315,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;310,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;314,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;318,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;312,5
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;302,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;294,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;290,8
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;280,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;281,7
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;282,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;287,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;285,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;282,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;272,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;265,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;257,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;247,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;244,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;239,7
