Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,3
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;1,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;0,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;0,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;0,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;0,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;4,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,0
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;3,0
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;2,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,5
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,4
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,4
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;1,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;3,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,9
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,7
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;3,6
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;3,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;3,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;3,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;2,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;61...70;1,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;4,1
