Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;3,8
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;4,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;4,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;5,1
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;6,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;1,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;4,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;4,1
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;3,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;3,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;3,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;3,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;4,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;5,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;7,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;9,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;9,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;8,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;9,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;9,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;9,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;10,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;11,1
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;11,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;4,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,6
