Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;4,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;5,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;5,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;8,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;4,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;4,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;3,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,6
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;2,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;3,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;5,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;7,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;9,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;11,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;12,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;12,1
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;13,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;14,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;14,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;16,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;15,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;14,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;14,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;15,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;14,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;51...60;15,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;30,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;24,0
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;23,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;27,8
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;30,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;31,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;31,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;30,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;27,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;27,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;27,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;27,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;26,1
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;25,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;23,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;21,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;22,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;22,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;20,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;20,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;18,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;20,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;41...50;20,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;31...40;61,2
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;31...40;53,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;31...40;56,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;31...40;59,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;31...40;61,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;31...40;59,7
