Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;22,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;22,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;21,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;18,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;17,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;18,7
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;19,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;20,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;20,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;18,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;18,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;19,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;19,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;21,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;24,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;23,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;23,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;25,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;26,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;28,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;29,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;30,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;23,1
