Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;4,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;7,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;10,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;11,1
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;4,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;11,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;12,6
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;13,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;14,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;14,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;15,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;14,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;16,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;15,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;16,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;16,1
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;17,6
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;17,7
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;21,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;21,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;22,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;23,4
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;26,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;27,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;28,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;27,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27.02.2025 13:21:59;27,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;25,5
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;30,3
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;31,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;34,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;37,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;39,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;45,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;49,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;49,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;49,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;52,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;54,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;53,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;27.02.2025 13:21:59;53,7
