Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;64,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;62,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;63,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;65,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;67,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;67,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;64,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;60,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;57,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;57,7
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;92,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;106,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;100,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;98,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;97,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;98,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;95,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;97,1
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;98,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;99,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;99,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;101,0
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;100,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;100,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;99,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;104,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;104,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;106,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;107,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;113,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;108,2
